3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
lic,unicorn icefish,channichthys rhinoceratus,channichthys,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,unicorn icefish
fkr,NA,NA,NA,NA,NA,NA,NA,NA,NA,channichthys spp
chw,NA,chionobathyscus dewitti,chionobathyscus,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,sci_name,chionobathyscus dewitti
tic,NA,chionodraco hamatus,chionodraco,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,sci_name,chionodraco hamatus
mic,myers' icefish,chionodraco myersi,chionodraco,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,myers' icefish
kif,ocellated icefish,chionodraco rastrospinosus,chionodraco,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,ocellated icefish
dah,NA,NA,NA,NA,NA,NA,NA,NA,NA,dacodraco hunteri
jic,jonah's icefish,neopagetopsis ionah,neopagetopsis,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,jonah's icefish
fic,NA,NA,NA,NA,NA,NA,NA,NA,NA,long-fingered icefish
ick,NA,NA,NA,NA,NA,NA,NA,NA,NA,pagetodes atkinsoni
ydb,NA,NA,NA,NA,NA,NA,NA,NA,NA,pagetodes spp
pma,NA,NA,NA,NA,NA,NA,NA,NA,NA,pagetopsis macropterus
pzs,NA,NA,NA,NA,NA,NA,NA,NA,NA,pagetopsis maculata
pzk,NA,NA,NA,NA,NA,NA,NA,NA,NA,pagetopsis spp
sgi,south georgia icefish,pseudochaenichthys georgianus,pseudochaenichthys,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,south georgia icefish
icx,crocodile icefishes nei,channichthyidae,channichthyidae,channichthyidae,pisces,miscellaneous demersal fishes,crocodile icefishes,yes,en_name,crocodile icefishes nei
hcp,NA,NA,NA,NA,NA,NA,NA,NA,NA,hoplichthys acanthopleurus
